USDOT,MC_no,MCS 150,Entity_type,Operating_status,Out_of_service,Legal_name,Dba_name,Contact_name,Physical_address,Physical_city,Physical_state,Physical_zip,Business_phone,Mobile_number,Email_address,Mailing_address,Mailing_city,Mailing_state,Mailing_zip,Power units,Drivers,Mileage (Year),Operation_classification,Carrier_operation,Cargo_carried
3385881,,2020-01-23,Carrier,Not Authorized,None,Carrillo Interstate Llc,,,9201 San Carlos Ave Apt A,South Gate,CA,90280,(323) 384-4912,,,9201 San Carlos Ave Apt A,South Gate,CA,90280,1,4,,Auth. For Hire ,Interstate ,General Freight
3385883,,2020-01-23,Carrier,Active,None,A Sewerguy Plumbing,A Sewer Guy,,206 Foresthill Ave,Auburn,CA,95603,(530) 313-7923,,,206 Foresthill Ave,Auburn,CA,95603,1,0,,Auth. For Hire ,Intrastate  ,Other
3385912,,2020-01-23,Carrier,Not Authorized,None,Falcon Logistics Global Inc,,,667 Brea Canyon Rd Ste 20B,Walnut,CA,91789,(941) 584-9868,,,667 Brea Canyon Rd Ste 20B,Walnut,CA,91789,0,0,,Auth. For Hire ,Interstate ,General Freight
3385921,,2020-01-23,Carrier,Not Authorized,None,Dustin Penman,Penman Construction,,2571 Shawnee Rd,Auburn,CA,95603,(941) 584-9868,,,2571 Shawnee Rd,Auburn,CA,95603,1,1,,Auth. For Hire ,Interstate ,Construction
3385991,,2020-01-23,Carrier,Active,None,Ljl Trucking Inc,,,11638 Redwood Ave,Hesperia,CA,92345,(760) 412-9371,,,11638 Redwood Ave,Hesperia,CA,92345,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386003,,2020-01-23,Carrier,Active,None,Royerk Trucking,,,9080 Yucca Way,Thornton,CO,80229,(720) 985-0933,,,9080 Yucca Way,Thornton,CO,80229,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386029,,2020-01-23,Carrier,Not Authorized,None,Pink Elephants On The Move Inc,,,720 S Wolfe Rd Ste 334,Sunnyvale,CA,94086,(310) 876-4417,,,720 S Wolfe Rd Ste 334,Sunnyvale,CA,94086,1,4,,Auth. For Hire ,Interstate ,Household Goods
3386030,,2020-01-23,Carrier,Not Authorized,None,Epic Ventures Inc,Convoy Beverage Alliance,,200 Concourse Blvd,Santa Rosa,CA,95403,(877) 541-8771,,,200 Concourse Blvd,Santa Rosa,CA,95403,51,54,,Auth. For Hire ,Interstate ,General Freight
3386042,,2020-01-23,Carrier,Active,None,Roadrunner Trucking Co Llc,,,8460 Mesa Terrace Rd,Santee,CA,92071,(619) 448-9560,,,8460 Mesa Terrace Rd,Santee,CA,92071,1,1,,Auth. For Hire ,Intrastate  ,Construction
3386058,,2020-01-23,Carrier,Not Authorized,None,Nenas Produce Llc,,,1149 Holdridge St,Calexico,CA,92231,(760) 970-9222,,,1149 Holdridge St,Calexico,CA,92231,1,1,,Auth. For Hire ,Interstate ,Fresh Produce
