USDOT,MC_no,MCS 150,Entity_type,Operating_status,Out_of_service,Legal_name,Dba_name,Contact_name,Physical_address,Physical_city,Physical_state,Physical_zip,Business_phone,Mobile_number,Email_address,Mailing_address,Mailing_city,Mailing_state,Mailing_zip,Power units,Drivers,Mileage (Year),Operation_classification,Carrier_operation,Cargo_carried
3385428,,2020-01-22,Carrier,Not Authorized,None,Teriar Trucking Llc,,,5901 W Mulberry Dr,Phoenix,AZ,85033,(623) 256-4788,,,5901 W Mulberry Dr,Phoenix,AZ,85033,1,1,,Auth. For Hire ,Interstate ,General Freight
3385439,,2020-01-22,Carrier,Not Authorized,None,Iroam Llc,,,5328 W Tierra Buena Ln,Glendale,AZ,85306,(480) 406-2104,,,5328 W Tierra Buena Ln,Glendale,AZ,85306,1,1,,Auth. For Hire ,Interstate ,General Freight
3385489,,2020-01-22,Carrier,Active,None,Move University Llc,,,12829 N 19Th Pl,Phoenix,AZ,85022,(602) 726-1877,,,12829 N 19Th Pl,Phoenix,AZ,85022,1,1,,Auth. For Hire ,Intrastate  ,Household Goods
3385509,,2020-01-22,Carrier,Active,None,Neff Trucking Llc,,,10312 E Diamond Ave,Mesa,AZ,85208,(831) 269-0476,,,10312 E Diamond Ave,Mesa,AZ,85208,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385564,,2020-01-22,Carrier,Active,None,Ht Transport Llc,,,7847 E Portobello Ave,Mesa,AZ,85212,(480) 547-0895,,,7847 E Portobello Ave,Mesa,AZ,85212,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385655,,2020-01-22,Carrier,Not Authorized,None,Red Rock Trucking Llc,,,21813 N 119Th Dr,Sun City,AZ,85373,(602) 638-8620,,,21813 N 119Th Dr,Sun City,AZ,85373,1,1,,Auth. For Hire ,Interstate ,General Freight
3385658,,2020-01-22,Carrier,Active,None,Arizona Tree Team Llc,,,5613 S 14Th Way,Phoenix,AZ,85040,(602) 326-7902,,,5613 S 14Th Way,Phoenix,AZ,85040,1,1,,Auth. For Hire ,Intrastate  ,Logs
3385675,,2020-01-22,Carrier,Not Authorized,None,Simple Moving Llc,,,1586 W Maggio Way Apt 1032,Chandler,AZ,85224,(941) 584-9868,,,1586 W Maggio Way Apt 1032,Chandler,AZ,85224,1,1,,Auth. For Hire ,Interstate ,General Freight
3385872,,2020-01-22,Carrier,Not Authorized,None,Aap Logistics Inc,,,1916 N 202Nd Ave,Buckeye,AZ,85396,(909) 265-8555,,,1916 N 202Nd Ave,Buckeye,AZ,85396,1,1,,Auth. For Hire ,Interstate ,General Freight
