USDOT,MC_no,MCS 150,Entity_type,Operating_status,Out_of_service,Legal_name,Dba_name,Contact_name,Physical_address,Physical_city,Physical_state,Physical_zip,Business_phone,Mobile_number,Email_address,Mailing_address,Mailing_city,Mailing_state,Mailing_zip,Power units,Drivers,Mileage (Year),Operation_classification,Carrier_operation,Cargo_carried
3385314,,2020-01-22,Carrier,Active,None,Ljq Trucking Llc,,,6278 Canyon Cir,Fort Worth,TX,76133,(787) 901-9124,,,6278 Canyon Cir,Fort Worth,TX,76133,1,1,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"Other, "
3385320,,2020-01-22,Carrier,Active,None,Reyes Express Shipping Llc,,,2045 Mildred Way,Grand Prairie,TX,75051,(818) 274-6079,,,2045 Mildred Way,Grand Prairie,TX,75051,1,1,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"Other, "
3385325,,2020-01-22,Carrier,Not Authorized,None,Crescent City Carriers Express Llc,,,1202 1St St Unit 158,Humble,TX,77347,(504) 615-4411,,,"Po Box 158
Humble, Tx   77347-0158",,,,1,1,,Auth. For Hire ,Interstate ,"General Freight, "
3385341,,2020-01-22,Carrier,Not Authorized,None,Gji Trucking Company Llc,,,1505 W Bella Vista Ave,Alton,TX,78573,(956) 340-3695,,,1505 W Bella Vista Ave,Alton,TX,78573,1,1,,Auth. For Hire ,Interstate ,"General Freight, "
3385355,,2020-01-22,Carrier,Not Authorized,None,Kyle Logistics Llc,,,6735 Pleasant Bay,San Antonio,TX,78244,(405) 792-6946,,,6735 Pleasant Bay,San Antonio,TX,78244,1,4,,Auth. For Hire ,Interstate ,"General Freight, "
3385365,,2020-01-22,Carrier,Active,None,Branded 14 Hot Shot Service Llc,,,4617 Comanche Dr,Midland,TX,79703,(432) 638-1755,,,4617 Comanche Dr,Midland,TX,79703,4,4,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"Oilfield Equipment, "
3385377,,2020-01-22,Carrier,Not Authorized,None,Elw Logistics Llc,,,812 Arbor Downs Dr,Plano,TX,75023,(405) 792-6946,,,812 Arbor Downs Dr,Plano,TX,75023,1,1,,Auth. For Hire ,Interstate ,"General Freight, "
3385401,,2020-01-22,Carrier,Active,None,Jesus Plutarco Rios,Jg Rios Trucking,,1304 Natchez Ave,Pasadena,TX,77506,(832) 817-7206,,,1304 Natchez Ave,Pasadena,TX,77506,1,2,"65,880 (2019)",Auth. For Hire ,Intrastate Only (Non-Hm) ,"Sand And Gravel, "
3385402,,2020-01-22,Carrier,Not Authorized,None,Iv Transport Llc,,,2569 Green Meadows Dr,Glen Rose,TX,76043,(602) 702-2155,,,2569 Green Meadows Dr,Glen Rose,TX,76043,1,3,,Auth. For Hire ,Interstate ,"Motor Vehicles, "
3385415,,2020-01-22,Carrier,Not Authorized,None,H & E Express Trucking Llc,,,4156 Alava Dr,Fort Worth,TX,76133,(714) 759-0199,,,4156 Alava Dr,Fort Worth,TX,76133,3,6,1 (2019),Auth. For Hire ,Interstate ,"General Freight, "
3385421,,2020-01-22,Carrier,Not Authorized,None,D Owens Trucking Llc,,,4905 Paces Trl Apt 614,Arlington,TX,76017,(405) 792-6946,,,4905 Paces Trl Apt 614,Arlington,TX,76017,1,1,,Auth. For Hire ,Interstate ,"General Freight, Building Materials, "
3385442,,2020-01-22,Carrier,Active,None,Boari Cement Truck Llc,,,2727 Elmside Dr Apt 106,Houston,TX,77042,(832) 949-9358,,,2727 Elmside Dr Apt 106,Houston,TX,77042,1,1,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"Other, "
3385445,,2020-01-22,Carrier,Active,None,Patrick Home Assembly,,,4002 Reid St,Houston,TX,77026,(713) 392-2384,,,4002 Reid St,Houston,TX,77026,1,2,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"General Freight, "
3385448,,2020-01-22,Carrier,Active,None,Blanca Araceli Ibarra,Blanca Villarreal Trucking,,132 Chula Vista Rd,Eagle Pass,TX,78852,(325) 330-2707,,,132 Chula Vista Rd,Eagle Pass,TX,78852,1,1,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"General Freight, Other, "
3385450,,2020-01-22,Carrier,Not Authorized,None,Yac Express Logistics Llc,,,111 Green,"Pasture
 Hutto",TX,78634,(512) 230-0653,,,111 Green,"Pasture
 Hutto",TX,78634,2,2,,Auth. For Hire ,Interstate ,"General Freight, "
3385452,,2020-01-22,Carrier,Active,None,Victor Ornelas Pedroza,Lil Hulk Transport,,9320 Old Decatur Rd,Fort Worth,TX,76179,(682) 558-4294,,,9320 Old Decatur Rd,Fort Worth,TX,76179,1,1,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"Other, "
3385455,,2020-01-22,Carrier,Not Authorized,None,Rjw Multi Service Inc,,,3616 Rio Grande Rd,Little Elm,TX,75068,(682) 812-4209,,,3616 Rio Grande Rd,Little Elm,TX,75068,1,1,,Auth. For Hire ,Interstate ,"Other, "
3385459,,2020-01-22,Carrier,Not Authorized,None,Superfreight Logistics Llc,,,5709 Fathom Dr,Fort Worth,TX,76135,(405) 792-6946,,,5709 Fathom Dr,Fort Worth,TX,76135,1,1,,Auth. For Hire ,Interstate ,"General Freight, "
3385467,,2020-01-22,Carrier,Not Authorized,None,Campbells Express Llc,,,2102 Long,"Trail Path Ct
 Spring",TX,77373,(405) 792-6946,,,2102 Long,"Trail Path Ct
 Spring",TX,77373,1,1,,Auth. For Hire ,Interstate ,"General Freight, "
3385478,,2020-01-22,Carrier,Active,None,Adriana Roque Munoz,D Transport,,6735 Westcreek Dr,Fort Worth,TX,76133,(682) 209-8371,,,6735 Westcreek Dr,Fort Worth,TX,76133,1,1,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"General Freight, Other, "
3385479,,2020-01-22,Carrier,Active,None,Tpt Trucking,Truck Driving,,"816 N Seminole St 816 N Seminole St
Amarillo, Tx   79107-7051",,,,(806) 433-3947,,,"816 N Seminole St 816 N Seminole St
Amarillo, Tx   79107-7051",,,,2,4,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"General Freight, Other, "
3385496,,2020-01-22,Carrier,Active,None,Cruz A Hernandez,,,125 Helen Ln,Pleasanton,TX,78064,(830) 200-6344,,,125 Helen Ln,Pleasanton,TX,78064,1,1,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"General Freight, Other, "
3385519,,2020-01-22,Carrier,Not Authorized,None,Fj Hotshots Transport,,,7313 Gulf Fwy Apt 803,Houston,TX,77017,(281) 690-0363,,,7313 Gulf Fwy Apt 803,Houston,TX,77017,1,0,,Auth. For Hire ,Interstate ,"General Freight, Building Materials, Construction, "
3385529,,2020-01-22,Carrier,Active,None,Big Trucking Services,Keith Wheeler,,8791 Ducote Rd,Silsbee,TX,77656,(409) 289-4937,,,8791 Ducote Rd,Silsbee,TX,77656,1,2,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"General Freight, Other, "
3385540,,2020-01-22,Carrier,Active,None,Hi-Call Delivery & Moving,20150491910,,7103 Spring Leaf St,San Antonio,TX,78249,(210) 896-8363,,,7103 Spring Leaf St,San Antonio,TX,78249,1,4,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"Household Goods, "
3385556,,2020-01-22,Carrier,Active,None,Gilberto Mendoza Molina,,,3708 Tanglebriar Dr,Pasadena,TX,77503,(713) 400-2356,,,3708 Tanglebriar Dr,Pasadena,TX,77503,1,1,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"Other, "
3385575,,2020-01-22,Carrier,Active,None,Alcon Transport Usa Llc,,,17227 Kobuk Valley Cir,Humble,TX,77346,(713) 294-6319,,,17227 Kobuk Valley Cir,Humble,TX,77346,1,1,"29,850 (2019)",Auth. For Hire ,Intrastate Only (Non-Hm) ,"General Freight, "
3385585,,2020-01-22,Carrier,Not Authorized,None,Commodity Product And Services Llc,,,8995 Sun Haven Way,Fort Worth,TX,76244,(812) 512-1133,,,8995 Sun Haven Way,Fort Worth,TX,76244,2,2,,Auth. For Hire ,Interstate ,"General Freight, Fresh Produce, Refrigerated Food, "
3385587,,2020-01-22,Carrier,Not Authorized,None,Texas Expedited Services Llc,,,1211 San Dario Ave Apt 1407,Laredo,TX,78040,(956) 725-1508,,,1211 San Dario Ave Apt 1407,Laredo,TX,78040,1,4,,Auth. For Hire ,Interstate ,"General Freight, "
3385593,,2020-01-22,Carrier,Not Authorized,None,Roulez Transportation Llc,,,22111 Hufsmith Kohrville Rd Ste C,Tomball,TX,77375,(281) 819-6633,,,31611 Dunham Lake Dr,Hockley,TX,77447,6,3,,Auth. For Hire ,Interstate ,"General Freight, Motor Vehicles, Logs, Poles, Beams, Lumber, Building Materials, Mobile Homes, Machinery, Large Objects, Fresh Produce, Oilfield Equipment, Livestock, Grain, Feed, Hay, Meat, Commodities Dry Bulk, Refrigerated Food, Beverages, Paper Products, Agricultural/Farm Supplies, Other, "
3385604,,2020-01-22,Carrier,Active,None,Carlos Garcia,Gc Transportation Llc,,2928 Klondike Dr,Dallas,TX,75228,(505) 463-5148,,,2928 Klondike Dr,Dallas,TX,75228,1,2,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"General Freight, Building Materials, "
3385634,,2020-01-22,Carrier,Not Authorized,None,Gnl Trucking Llc,,,1713 La Casa Dr,Odessa,TX,79763,(432) 234-5488,,,1713 La Casa Dr,Odessa,TX,79763,1,2,,Auth. For Hire ,Interstate ,"General Freight, Metal: Sheets, Coils, Rolls, Oilfield Equipment, "
3385641,,2020-01-22,Carrier,Active,None,Edel Conde Sarduy,Conde Trucking,,3559 N Alexander Ave,Odessa,TX,79764,(806) 922-7563,,,3559 N Alexander Ave,Odessa,TX,79764,1,1,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"General Freight, Other, "
3385657,,2020-01-22,Carrier,Active,None,D Lloyd Logistics Llc,,,13608 Crystal Palace Ln,Pearland,TX,77584,(281) 300-4424,,,13608 Crystal Palace Ln,Pearland,TX,77584,1,1,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"General Freight, Other, "
3385664,,2020-01-22,Carrier,Not Authorized,None,Dk Transportation Services Llc,,,1231 Twin Hills St,Cedar Hill,TX,75104,(972) 480-2862,,,1231 Twin Hills St,Cedar Hill,TX,75104,1,1,,Auth. For Hire ,Interstate ,"Household Goods, "
3385673,,2020-01-22,Carrier,Active,None,Kevin Smith,,,813 Hyde Park Blvd,Cleburne,TX,76033,(817) 659-9891,,,813 Hyde Park Blvd,Cleburne,TX,76033,1,1,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"General Freight, "
3385679,,2020-01-22,Carrier,Active,None,Jose Luis Ramirez,,,8474 S 81,Karnes City,TX,78118,(301) 796-2068,,,8474 S 81,Karnes City,TX,78118,5,5,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"General Freight, "
3385681,,2020-01-22,Carrier,Active,None,Raul Eduardo Guajardo,,,1006 Canyon Dr,Midland,TX,79703,(469) 778-4138,,,1006 Canyon Dr,Midland,TX,79703,1,1,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"Other, "
3385683,,2020-01-22,Carrier,Not Authorized,None,Natural Gas Logistics,Greenway Logistics,,10733 Spangler Rd,Dallas,TX,75220,(214) 630-1000,,,10733 Spangler Rd,Dallas,TX,75220,1,1,,Auth. For Hire ,Interstate ,"General Freight, Other, "
3385698,,2020-01-22,Carrier,Active,None,Miguel Morales,,,2500 Gemini St Trlr 9,Odessa,TX,79764,(505) 310-2627,,,2500 Gemini St Trlr 9,Odessa,TX,79764,1,1,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"Frac Sand, "
3385713,,2020-01-22,Carrier,Active,None,Rey Daily Trucking Llc,,,901 Bernice Ave Apt 20,Odessa,TX,79763,(432) 661-8685,,,901 Bernice Ave Apt 20,Odessa,TX,79763,1,1,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"General Freight, Other, "
3385746,,2020-01-22,Carrier,Not Authorized,None,Kiro Group Llc,Saygo Logistics,,12240 Oxford Park Dr Ste B101,Houston,TX,77082,(346) 763-8039,,,8411 Remington Bluff Ln,Richmond,TX,77407,3,3,1 (2019),Auth. For Hire ,Interstate ,"General Freight, "
3385780,,2020-01-22,Carrier,Not Authorized,None,Midwest Express Llc,,,13015 Audelia Rd Apt 12256,Dallas,TX,75243,(214) 558-4405,,,13015 Audelia Rd Apt 12256,Dallas,TX,75243,1,1,,Auth. For Hire ,Interstate ,"General Freight, Metal: Sheets, Coils, Rolls, Building Materials, Commodities Dry Bulk, Paper Products, Utilities, Agricultural/Farm Supplies, Construction, "
3385787,,2020-01-22,Carrier,Active,None,Perrone'S Ready Mix Llc,,,7118 Harlem St,Baytown,TX,77521,(346) 303-9112,,,7118 Harlem St,Baytown,TX,77521,1,1,,Auth. For Hire ,Intrastate Only (Non-Hm) ,"General Freight, Construction, "
