USDOT,MC_no,MCS 150,Entity_type,Operating_status,Out_of_service,Legal_name,Dba_name,Contact_name,Physical_address,Physical_city,Physical_state,Physical_zip,Business_phone,Mobile_number,Email_address,Mailing_address,Mailing_city,Mailing_state,Mailing_zip,Power units,Drivers,Mileage (Year),Operation_classification,Carrier_operation,Cargo_carried
3385889,,2020-01-23,Carrier,Active,None,Laura M Bazan,M-B Trucking,,117 Frank Doyno St,Rio Grande Cy,TX,78582,(956) 735-5276,,,117 Frank Doyno St,Rio Grande Cy,TX,78582,1,2,,Auth. For Hire ,Intrastate  ,General Freight
3385891,,2020-01-23,Carrier,Active,None,Arch Alliance Llc,,,11838 Palmetto Shores Dr,Houston,TX,77065,(832) 859-6606,,,11838 Palmetto Shores Dr,Houston,TX,77065,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385917,,2020-01-23,Carrier,Active,None,Rene Faria Aguilera,Ra Trucking,,13021 Dessau Rd Lot 627,Austin,TX,78754,(512) 712-0085,,,13021 Dessau Rd Lot 627,Austin,TX,78754,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385930,,2020-01-23,Carrier,Not Authorized,None,Lg Transportation Services Corp,,,"321 204
 Valley View",,TX,76272,(954) 798-2989,,,"321 204
 Valley View",,TX,76272,1,1,,Auth. For Hire ,Interstate ,General Freight
3385940,,2020-01-23,Carrier,Active,None,Double F Trucking Inc,Double F Trucking,,225 Greenbriar Rd,Gatesville,TX,76528,(254) 913-7823,,,225 Greenbriar Rd,Gatesville,TX,76528,1,1,,Auth. For Hire ,Intrastate  ,Other
3385942,,2020-01-23,Carrier,Active,None,Sergio Hurtado-Huerta,Chihuas Transport,,9242 Old Sky Hbr,San Antonio,TX,78242,(210) 730-2777,,,9242 Old Sky Hbr,San Antonio,TX,78242,1,1,,Auth. For Hire ,Intrastate  ,Construction
3385986,,2020-01-23,Carrier,Not Authorized,None,Matthew'S Delivery Llc,,,6777 Sommerall Dr Apt 1521,Houston,TX,77084,(813) 775-5859,,,6777 Sommerall Dr Apt 1521,Houston,TX,77084,1,1,,Auth. For Hire ,Interstate ,General Freight
3385988,,2020-01-23,Carrier,Active,None,Treking Fa8Th Llc,,,306 Applewood Dr,Pflugerville,TX,78660,(806) 200-2529,,,306 Applewood Dr,Pflugerville,TX,78660,1,1,,Auth. For Hire ,Intrastate  ,Other
3385989,,2020-01-23,Carrier,Active,None,Jose Javier Nunez Barraza,,,1001 N Loraine St,Midland,TX,79701,(720) 621-7784,,,1001 N Loraine St,Midland,TX,79701,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385992,,2020-01-23,Carrier,Active,None,Joe Slater,247 Septic Services,,791 N 77 Ste 501C,Waxahachie,TX,75165,(682) 279-6700,,,791 N 77 Ste 501C,Waxahachie,TX,75165,1,1,,Auth. For Hire ,Intrastate  ,Other
3385994,,2020-01-23,Carrier,Active,None,Brooke Paving And Construction Llc,,,5601 Grand Lake Cir,Robstown,TX,78380,(361) 877-4942,,,5601 Grand Lake Cir,Robstown,TX,78380,2,2,,Auth. For Hire ,Intrastate  ,Machinery
3386002,,2020-01-23,Carrier,Not Authorized,None,W & H Transportation Llc,,,302 Cedar Ridge Dr Unit A,Nolanville,TX,76559,(254) 661-8370,,,302 Cedar Ridge Dr Unit A,Nolanville,TX,76559,1,1,1 (2019),Auth. For Hire ,Interstate ,General Freight
3386014,,2020-01-23,Carrier,Not Authorized,None,Fes Express Carriers Llc,Fes Carriers,,2072 W San Marcelo Blvd,Brownsville,TX,78526,(956) 509-4902,,,2072 W San Marcelo Blvd,Brownsville,TX,78526,1,1,,Auth. For Hire ,Interstate ,General Freight
3386057,,2020-01-23,Carrier,Active,None,Montano Transport Llc,,,1606 W 150,"Lot H
 Midland",TX,79706,(702) 400-0270,,,1606 W 150,"Lot H
 Midland",TX,79706,1,1,,Auth. For Hire ,Intrastate  ,Other
3386066,,2020-01-23,Carrier,Not Authorized,None,Transport Gp Llc,,,3715 Devon Ave,San Antonio,TX,78223,(210) 760-1003,,,3715 Devon Ave,San Antonio,TX,78223,1,1,,Auth. For Hire ,Interstate ,General Freight
3386100,,2020-01-23,Carrier,Active,None,Enrique Santoyo Simental,,,1925 Airline Dr,Katy,TX,77493,(281) 923-4104,,,1925 Airline Dr,Katy,TX,77493,1,1,,Auth. For Hire ,Intrastate  ,Construction Deb
3386160,,2020-01-23,Carrier,Not Authorized,None,Jose Contreras,Jst Cuz Hot Shots,,905 Nw 7Th St,Andrews,TX,79714,(806) 200-2529,,,905 Nw 7Th St,Andrews,TX,79714,1,1,,Auth. For Hire ,Interstate ,General Freight
3386165,,2020-01-23,Carrier,Not Authorized,None,Art Nino Transportation Services Llc,,,21451 White Oak Ln,New Caney,TX,77357,(281) 330-5450,,,21451 White Oak Ln,New Caney,TX,77357,1,1,1 (2019),Auth. For Hire ,Interstate ,General Freight
3386166,,2020-01-23,Carrier,Active,None,Jlv Trucking,,,3809 Horizon Pl,Fort Worth,TX,76133,(682) 785-0874,,,3809 Horizon Pl,Fort Worth,TX,76133,1,1,,Auth. For Hire ,Intrastate  ,Other
